repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
ikawaha/kagome,fba6eca8fd93c16ce92b911c6dbbea1e4fe62ee8,b863fdb763cd3768275b834a4cbbd11473f1b068,v2,1748877624,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,1303,1303,1303,1523,1523,0,0,0,0,0,0,0,0,0,0,3,3,
ikawaha/kagome,b863fdb763cd3768275b834a4cbbd11473f1b068,7ca76e84ed9a971f923c589f3361102a36157dca,v2,1743515673,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,1303,1303,1303,1523,1523,0,0,0,0,0,0,0,0,0,0,1,1,
ikawaha/kagome,7ca76e84ed9a971f923c589f3361102a36157dca,2e9cd4a8f6ad5b81fe97d43c13e6b41b7257b991,v2,1743515622,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,1303,1303,1303,1523,1523,0,0,0,7,0,0,0,23,0,19,33,29,
ikawaha/kagome,2e9cd4a8f6ad5b81fe97d43c13e6b41b7257b991,55c6abcc8299b742c32b311717955b21608d98c9,v2,1743173763,47,209,0,0,41,2,0,0,995,0,0,0,0,261,2341,1303,1299,1523,1474,0,0,12,12,0,0,73,71,49,62,212,146,
ikawaha/kagome,2affcc25920b1ba13bd929c4a523f81ab9743554,55c6abcc8299b742c32b311717955b21608d98c9,ikawaha/chore/golangci-lint-migrate,1743168869,47,209,0,0,41,2,0,0,995,0,0,0,0,261,2341,1303,1299,1523,1474,0,0,12,12,0,0,73,71,49,62,212,146,
ikawaha/kagome,55c6abcc8299b742c32b311717955b21608d98c9,c1dfccd19adde8384aa39ce9557a3f6312dbef13,v2,1743003495,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,1299,1299,1299,1515,1515,0,0,0,0,0,0,0,0,0,0,75,70,
ikawaha/kagome,c1dfccd19adde8384aa39ce9557a3f6312dbef13,5b0e4f8c8c9ce1683fcff59ba3976fed283af23b,v2,1742952482,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,1299,1299,1299,1515,1515,0,0,0,0,0,0,0,0,0,0,1,1,
ikawaha/kagome,5b0e4f8c8c9ce1683fcff59ba3976fed283af23b,ccc294a45c37f3735201cbdbf995563de9db1053,v2,1742871653,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,1299,1299,1299,1515,1515,0,0,0,0,0,0,0,0,0,0,1,1,
ikawaha/kagome,ccc294a45c37f3735201cbdbf995563de9db1053,e34beeb6e4be7b55d942ee2abf1558dc79b6f0c3,v2,1742459820,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,1299,1299,1299,1515,1515,0,0,0,0,0,0,0,0,0,0,14,14,
ikawaha/kagome,e34beeb6e4be7b55d942ee2abf1558dc79b6f0c3,6a1a3124a87dc1786f159f6841819a6320ccf2ec,v2,1741780575,0,0,1299,216,0,0,0,0,0,0,0,0,0,0,1299,1299,0,1515,0,0,0,0,0,0,0,0,0,0,0,12,10,
ikawaha/kagome,a6f4834a99c7e56bc8d145be8a6ee60c9463a96e,6a1a3124a87dc1786f159f6841819a6320ccf2ec,bump/kagome-dict-v1.1.2,1741779390,0,0,1299,216,0,0,0,0,0,0,0,0,0,0,1299,1299,0,1515,0,0,0,0,0,0,0,0,0,0,0,12,10,
ikawaha/kagome,6a1a3124a87dc1786f159f6841819a6320ccf2ec,0cc89174b735180ca695a9bd5797f53f6d6ffe91,v2,1723512954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
ikawaha/kagome,0cc89174b735180ca695a9bd5797f53f6d6ffe91,f493284d266ef8172c4bdb6dd145420d801b000a,v2,1723509211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
ikawaha/kagome,f493284d266ef8172c4bdb6dd145420d801b000a,abcc4f26110dc5b5522683fc03d8f4067b00983f,v2,1722671463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,158,59,0,0,764,7,
ikawaha/kagome,02589ebbb0cf7b35bb21a404fd7b7659e3d606be,abcc4f26110dc5b5522683fc03d8f4067b00983f,develop,1722671223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,158,59,0,0,764,7,
ikawaha/kagome,426167d9b48e70caa858d15731e507dfa47a3b93,abcc4f26110dc5b5522683fc03d8f4067b00983f,develop,1722665282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,158,59,0,0,764,0,
ikawaha/kagome,abcc4f26110dc5b5522683fc03d8f4067b00983f,5ba51357f0064a037be29a154311cb68823d7ba3,v2,1718530395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
ikawaha/kagome,5ba51357f0064a037be29a154311cb68823d7ba3,ea3f3ad438cbf9089df1639aa4027ae6ca309a99,v2,1718522802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,
