repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
F5Networks/k8s-bigip-ctlr,543662c8f5d40640f59baed5b5a5f6407a3ec955,ff9b5ddeef0a9f2270617dec7941bf36d4d01ba9,(HEAD detached at 543662c8),1748003016,664,0,22462,8147,0,0,0,0,0,0,0,0,0,0,23126,22462,0,31273,0,7,4,27,18,5,0,5137,2638,4124,1449,9031,5626,
F5Networks/k8s-bigip-ctlr,09b487383e7dd0731b810ad2e4bc6a0522d51edd,ff9b5ddeef0a9f2270617dec7941bf36d4d01ba9,(HEAD detached at 09b48738),1740131078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,417,86,157,61,545,223,
F5Networks/k8s-bigip-ctlr,ff9b5ddeef0a9f2270617dec7941bf36d4d01ba9,e3c0ec4ef25fc2fd3b994c05b63317aed2662622,(HEAD detached at ff9b5dde),1736772183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,14,0,1,5005,1027,2788,627,7943,4537,
F5Networks/k8s-bigip-ctlr,e3c0ec4ef25fc2fd3b994c05b63317aed2662622,b8b129c6d1b7ba2d3b08ac16449deb12eb7dfb4a,(HEAD detached at e3c0ec4e),1729790352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,14,
F5Networks/k8s-bigip-ctlr,72e5c5a7012565eb0b7930d35d5d0c9f24c29e88,5802ce9a9edc172a5d19f388aa96fde646e9ce42,(HEAD detached at 72e5c5a7),1729756155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,1821,257,558,81,2520,818,
F5Networks/k8s-bigip-ctlr,b8b129c6d1b7ba2d3b08ac16449deb12eb7dfb4a,5802ce9a9edc172a5d19f388aa96fde646e9ce42,(HEAD detached at b8b129c6),1729751119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,619,57,210,21,789,244,
F5Networks/k8s-bigip-ctlr,5802ce9a9edc172a5d19f388aa96fde646e9ce42,c52b0bedbad6ac2a8d0231a0796ce00d2674906b,(HEAD detached at 5802ce9a),1725425388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,52,85,1,1056,953,11210,119,40375,50660,
F5Networks/k8s-bigip-ctlr,c200ed8da28b0fb45edbbfbd6209732262696fa6,d63837b938aaa6e949624ca7b2078ae75786f074,(HEAD detached at c200ed8d),1722403357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,2,0,329,2320,488,95,2653,864,
F5Networks/k8s-bigip-ctlr,d63837b938aaa6e949624ca7b2078ae75786f074,ef3a4ec10a584f61d5be4c77de343c34b35e219b,(HEAD detached at d63837b9),1721731345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,44,3,21,3,79,47,
F5Networks/k8s-bigip-ctlr,ef3a4ec10a584f61d5be4c77de343c34b35e219b,8a3e45c1c5261a903545a3599de3d0f1ee9ac5c1,(HEAD detached at ef3a4ec1),1720585265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,507,14,34,509,48,
F5Networks/k8s-bigip-ctlr,8a3e45c1c5261a903545a3599de3d0f1ee9ac5c1,f0bfa3b1b667a099bce123232d70abafd7e3e62e,(HEAD detached at 8a3e45c1),1720521351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
F5Networks/k8s-bigip-ctlr,8a3e45c1c5261a903545a3599de3d0f1ee9ac5c1,f0bfa3b1b667a099bce123232d70abafd7e3e62e,(HEAD detached at 8a3e45c1),1720521351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
F5Networks/k8s-bigip-ctlr,f0bfa3b1b667a099bce123232d70abafd7e3e62e,0aac8e8255a610cde8062cc909d5db6cd355d271,(HEAD detached at f0bfa3b1),1720518787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,
